Link,https://www.imdb.com/trailers/?ref_=nv_mv_tr

Title and Year,Description,Director,Actors,For Adults?,Poster,Trailer
Malasaña 32 (2020),Inspired by real events  the story centers around a family in the 70s who settles in the Madrid neighborhood of Malasa&ntilde a where their new house will become the worst of their nightmares.,Albert Pintó,["María Ballesteros" "Javier Botet" "Sergio Castellanos" "José Luis de Madariaga"],false,https://m.media-amazon.com/images/M/MV5BMTQzNzkzOGEtYjg2Yy00NjUyLWJkMTgtNjBjYjg3OTFlMGM4XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2846736153/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Steins Gate (2011-2015),After discovering time travel  a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.,Not Found,["Mamoru Miyano" "Asami Imai" "Kana Hanazawa" "Ashly Burch"],false,https://m.media-amazon.com/images/M/MV5BMjUxMzE4ZDctODNjMS00MzIwLThjNDktODkwYjc5YWU0MDc0XkEyXkFqcGdeQXVyNjc3OTE4Nzk@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2980953881/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Boku wa Iesu-sama ga kirai (2018),When Yura's family moves from Tokyo to the countryside  he enters a private  Christian school  a religion he knows nothing about. Yura struggles to understand the school structure and student behavior when a miniature Jesus enters his life.,Hiroshi Okuyama,["Yura Satô" "Riki Ôkuma" "Hinako Saeki" "Chad Mullane"],false,https://m.media-amazon.com/images/M/MV5BYjA1MGVjNWUtNWFhOC00MjgwLWE5YTgtMzY3MTE2Y2RlMmMzXkEyXkFqcGdeQXVyNTQzOTgyMDU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi632078105/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Stella cadente (2014),The difficulty of establishing beauty and the futility of power.,Lluís Miñarro,["Alex Brendemühl" "Bárbara Lennie" "Lorenzo Balducci" "Lola Dueñas"],false,https://m.media-amazon.com/images/M/MV5BMjVlNDQ5NDQtOGI4OC00ZjU4LTgxMmQtNzEwMDY3NTViZDM3XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi330088217/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Spain in a Day (2016),,Isabel Coixet,[],false,https://m.media-amazon.com/images/M/MV5BNWYyZjI3NTctODRhZS00Y2Q5LTk1ZDQtYzlhYjgwNDU5NDQ2L2ltYWdlXkEyXkFqcGdeQXVyMjc1NjE1MzM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi464305945/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
El crack cero (2019),In this prequel  Germ&aacute n Areta leaves his position as a policeman to become a private detective in post-Francoist Spain.,José Luis Garci,["Macarena Gómez" "Paula Echevarría" "Cayetana Guillén Cuervo" "Miguel Ángel Muñoz"],false,https://m.media-amazon.com/images/M/MV5BZTU1M2U4OWUtZTQ5OS00OWM1LTljN2EtMWJmZDgxNzUwZGNkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3987455769/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Godzilla: King of the Monsters (2019),The crypto-zoological agency Monarch faces off against a battery of god-sized monsters  including the mighty Godzilla  who collides with Mothra  Rodan  and his ultimate nemesis  the three-headed King Ghidorah.,Michael Dougherty,["Kyle Chandler" "Vera Farmiga" "Millie Bobby Brown" "Ken Watanabe"],false,https://m.media-amazon.com/images/M/MV5BOGFjYWNkMTMtMTg1ZC00Y2I4LTg0ZTYtN2ZlMzI4MGQwNzg4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1619573785/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Workin' Moms (2017-),Four very different thirty-something working mothers and friends try to balance their jobs  family life and love life in modern day Toronto  Canada.,Not Found,["Catherine Reitman" "Dani Kind" "Juno Rinaldi" "Philip Sternberg"],false,https://m.media-amazon.com/images/M/MV5BYTkyMmQxYTUtOWQwYy00Yzc1LTljODgtMDViNzVhN2E1Y2FkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU2ODAxMjc@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3431054361/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Jane the Virgin (2014-2019),A young  devout Catholic woman discovers that she was accidentally artificially inseminated.,Not Found,["Gina Rodriguez" "Andrea Navedo" "Yael Grobglas" "Ivonne Coll"],false,https://m.media-amazon.com/images/M/MV5BMjUxMDEzNTYyN15BMl5BanBnXkFtZTgwMjQyMzg1NzM@._V1_UY231_CR1,https://www.imdb.com/video/imdb/vi2071964953/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Law & Order: Special Victims Unit (1999-),The Special Victims Unit  a specially trained squad of detectives in the NYPD  investigate sexually related crimes.,Not Found,["Mariska Hargitay" "Christopher Meloni" "Ice-T" "Dann Florek"],false,https://m.media-amazon.com/images/M/MV5BMDdlZTMyNjAtNWUyNS00ZGRlLThlMmEtODAyOTYzMjE3NTA0XkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3079995673/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
La inocencia (2019),Lis enjoys one more summer with her friends. The town's lack of intimacy  enforced by scandalmonger neighbours  means she keeps her relationship status secret  but the end of summer arrives with an unpleasant surprise.,Lucía Alemany,["Sergi López" "Sonia Almarcha" "Joel Bosqued" "Laia Marull"],false,https://m.media-amazon.com/images/M/MV5BOWI2YThiY2QtNjY5MC00MWZmLTlhY2MtN2JlZDZiZGE0OWVkXkEyXkFqcGdeQXVyODIxMzM0NTQ@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3180511001/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Ford v Ferrari (2019),American car designer Carroll Shelby and driver Ken Miles battle corporate interference  the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,["Christian Bale" "Caitriona Balfe" "Matt Damon" "Jon Bernthal"],false,https://m.media-amazon.com/images/M/MV5BYzcyZDNlNDktOWRhYy00ODQ5LTg1ODQtZmFmZTIyMjg2Yjk5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1737539353/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Gemini Man (2019),An over-the-hill hitman faces off against a younger clone of himself.,Ang Lee,["Will Smith" "Mary Elizabeth Winstead" "Clive Owen" "Benedict Wong"],false,https://m.media-amazon.com/images/M/MV5BZDNjMzEwY2EtYjMwZS00OWQ0LWI4YmUtZThjZWE5NDcyYWZmXkEyXkFqcGdeQXVyODM2Njg2OTg@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2993208345/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Goldfinch (2019),A boy in New York is taken in by a wealthy Upper East Side family after his mother is killed in a bombing at the Metropolitan Museum of Art.,John Crowley,["Oakes Fegley" "Ansel Elgort" "Nicole Kidman" "Jeffrey Wright"],false,https://m.media-amazon.com/images/M/MV5BY2ZmNmUzNTctYTA3Mi00ZTg3LWFmMWMtYzU2ZjA3NDRmODIzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1449638937/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Yesterday (2019),A struggling musician realizes he's the only person on Earth who can remember  after waking up in an alternate timeline where they never existed.,Danny Boyle,["Himesh Patel" "Lily James" "Sophia Di Martino" "Ellise Chappell"],false,https://m.media-amazon.com/images/M/MV5BMjQ0NTI0NjkyN15BMl5BanBnXkFtZTgwNzY0MTE0NzM@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1919203865/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Arrow (2012-),Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man  determined to clean up the city as a hooded vigilante armed with a bow.,Not Found,["Stephen Amell" "Katie Cassidy" "David Ramsey" "Susanna Thompson"],false,https://m.media-amazon.com/images/M/MV5BZDc5N2M3OTMtYmJmMy00MzczLWJmMTktZGNkYzlhNDczZWEzXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1784921113/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Westworld (2016-),Set at the intersection of the near future and the reimagined past  explore a world in which every human appetite can be indulged without consequence.,Not Found,["Evan Rachel Wood" "Jeffrey Wright" "Ed Harris" "Thandie Newton"],false,https://m.media-amazon.com/images/M/MV5BNThjM2Y3MDUtYTIyNC00ZDliLWJlMmItNWY1N2E5NjhmMGM4XkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi174308377/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Big Bang Theory (2007-2019),A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,Not Found,["Johnny Galecki" "Jim Parsons" "Kaley Cuoco" "Simon Helberg"],false,https://m.media-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi291683097/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Preacher (2016-),After a supernatural event at his church  a preacher enlists the help of a vampire and his ex to find God.,Not Found,["Dominic Cooper" "Joseph Gilgun" "Ruth Negga" "Ian Colletti"],false,https://m.media-amazon.com/images/M/MV5BNzIyMDY4NmUtMGRhZS00ZjE4LWI5YWYtYTYxMzcwZWNlZWRkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi4033002521/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Steven Universe: The Movie (2019),Steven thinks his time defending the Earth is over  but when a new threat comes to Beach City  Steven faces his biggest challenge yet.,Rebecca Sugar,["Zach Callison" "Estelle" "Michaela Dietz" "Deedee Magno"],false,https://m.media-amazon.com/images/M/MV5BYmVjY2U1N2UtMmZhOC00ODc5LWE1MjktODZjMmQyZmUyZWYwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2824977433/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Agents of S.H.I.E.L.D. (2013-),The missions of the Strategic Homeland Intervention  Enforcement and Logistics Division.,Not Found,["Clark Gregg" "Ming-Na Wen" "Brett Dalton" "Iain De Caestecker"],false,https://m.media-amazon.com/images/M/MV5BYjY1ZGI3MDItOTk5Zi00NTA4LWJlNjMtYWFkNDMxNWVlNjcxXkEyXkFqcGdeQXVyNTc4MjczMTM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi778157081/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Mayans M.C. (2018-),Set in a post-Jax Teller world  &quot Mayans MC&quot  sees EZ Reyes  a former golden boy now fresh out of prison  as a prospect in the Mayan MC charter on the California-Mexico border who must carve out his new outlaw identity.,Not Found,["JD Pardo" "Clayton Cardenas" "Sarah Bolger" "Michael Irby"],false,https://m.media-amazon.com/images/M/MV5BZDEyY2ZkMTgtOGE1YS00MWQ1LWJkNzQtMDBlMjBhZjJlNWViXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi677493785/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
NCIS: Naval Criminal Investigative Service (2003-),The cases of the Naval Criminal Investigative Service's Washington  D.C. Major Case Response Team  led by Special Agent Leroy Jethro Gibbs.,Not Found,["Mark Harmon" "David McCallum" "Sean Murray" "Pauley Perrette"],false,https://m.media-amazon.com/images/M/MV5BYmJmNDM4NzAtMWViMy00MDU0LWI5M2YtNzYxY2VlMTBiODM5XkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi291414809/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Angry Birds Movie 2 (2019),The flightless birds and scheming green pigs take their feud to the next level.,Thurop Van Orma,["Jason Sudeikis" "Josh Gad" "Leslie Jones" "Bill Hader"],false,https://m.media-amazon.com/images/M/MV5BYzdkNGJhNzQtMjY1OC00MDI3LTk0ZDUtNzU0MGZiY2YwZGUxXkEyXkFqcGdeQXVyNzMxNjQxMTk@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2958933017/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Haunt (2019),On Halloween  a group of friends encounter an &quot extreme&quot  haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realization that some nightmares are real.,Scott Bec,["Katie Stevens" "Will Brittain" "Lauryn Alisa McClain" "Andrew Caldwell"],false,https://m.media-amazon.com/images/M/MV5BODczNzBhOWMtZGNlOS00YjBhLWI2ZDgtMzA2MjFkZmJhNTNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi3864771609/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
It's Always Sunny in Philadelphia (2005-),Five friends with big egos and slightly arrogant attitudes are the proprietors of an Irish pub in Philadelphia.,Not Found,["Charlie Day" "Glenn Howerton" "Rob McElhenney" "Kaitlin Olson"],false,https://m.media-amazon.com/images/M/MV5BOTExNGZkMWMtMmIwZC00YjA3LTgwM2ItZjQ2YmZkMzQ1YWZkXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi611693081/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Star Trek: The Next Generation (1987-1994),Set almost 100 years after Captain Kirk's five-year mission  a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.,Not Found,["Patrick Stewart" "Brent Spiner" "Jonathan Frakes" "LeVar Burton"],false,https://m.media-amazon.com/images/M/MV5BNDViYjAyZWUtNGQxMy00MDUyLTlkZTAtOWNkY2M5ZTk5MTE5XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1081127961/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Fast & Furious Presents: Hobbs & Shaw (2019),Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.,David Leitch,["Dwayne Johnson" "Jason Statham" "Idris Elba" "Vanessa Kirby"],false,https://m.media-amazon.com/images/M/MV5BOTIzYmUyMmEtMWQzNC00YzExLTk3MzYtZTUzYjMyMmRiYzIwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3698310169/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Peaky Blinders (2013-),A gangster family epic set in 1919 Birmingham  England  centered on a gang who sew razor blades in the peaks of their caps  and their fierce boss Tommy Shelby.,Not Found,["Cillian Murphy" "Paul Anderson" "Helen McCrory" "Sophie Rundle"],false,https://m.media-amazon.com/images/M/MV5BMTkzNjEzMDEzMF5BMl5BanBnXkFtZTgwMDI0MjE4MjE@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2557459481/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Terror (2018-),Supernatural  semihistorical  horror anthology series  where each season is inspired by a different infamous or mysterious real life historical tragedy.,Not Found,["Jared Harris" "Tobias Menzies" "Paul Ready" "Adam Nagaitis"],false,https://m.media-amazon.com/images/M/MV5BYTJjODJjMjAtMmQzYi00OTI2LWFiMTktNDBiZjY5MDA3MWE1XkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3463429145/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Outlander (2014-),An English combat nurse from 1945 is mysteriously swept back in time to 1743.,Not Found,["Caitriona Balfe" "Sam Heughan" "Duncan Lacroix" "Tobias Menzies"],false,https://m.media-amazon.com/images/M/MV5BMTU1NDc3NzYxN15BMl5BanBnXkFtZTgwMTgyMjQyNjM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1332525849/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Vis a vis (2015-2019),She broke the law for the boss she fell in love with. Now this naive girl has to pay the price.,Not Found,["Alba Flores" "María Isabel Díaz Lago" "Marta Aledo" "Najwa Nimri"],false,https://m.media-amazon.com/images/M/MV5BM2MyNjFhZGYtMmI1ZC00Nzk0LWIwZjktMzMxZTk1YTQ2NWNhXkEyXkFqcGdeQXVyNDQ4NTM2ODE@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1766505497/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Power (2014-),James &quot Ghost&quot  St. Patrick  a wealthy New York night club owner who has it all  catering to the city's elite and dreaming big  lives a double life as a drug kingpin.,Not Found,["Omari Hardwick" "Naturi Naughton" "Joseph Sikora" "Shane Johnson"],false,https://m.media-amazon.com/images/M/MV5BYjllZjcwNjItMzc1OC00YjRkLWI5YzUtODM1YmEzNjFiYzNhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2907159577/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Righteous Gemstones (2019-),Follows a world-famous televangelist family with a long tradition of deviance  greed  and charitable work.,Not Found,["Edi Patterson" "Cassidy Freeman" "Kelton DuMont" "Gavin Munn"],false,https://m.media-amazon.com/images/M/MV5BZGE5MWVjMGUtNDM3My00MmJhLTgxMDctODdhMzdjN2UyYzgxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi155565081/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Fargo (2014-),Various chronicles of deception  intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo  North Dakota.,Not Found,["Billy Bob Thornton" "Martin Freeman" "Allison Tolman" "Colin Hanks"],false,https://m.media-amazon.com/images/M/MV5BMTg5NTYxNjkyNl5BMl5BanBnXkFtZTgwNzY1Mjg4MTI@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3880105497/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Crown (2016-),Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,Not Found,["Claire Foy" "Matt Smith" "Olivia Colman" "Tobias Menzies"],false,https://m.media-amazon.com/images/M/MV5BMjAxOTA2Mjc3MF5BMl5BanBnXkFtZTgwMTMxMzIxNDM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi826522649/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Dark Phoenix (2019),Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix. Now the X-Men will have to decide if the life of a team member is worth more than all of humanity.,Simon Kinberg,["James McAvoy" "Michael Fassbender" "Jennifer Lawrence" "Nicholas Hoult"],false,https://m.media-amazon.com/images/M/MV5BMjAwNDgxNTI0M15BMl5BanBnXkFtZTgwNTY4MDI1NzM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1178778905/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Toy Story 4 (2019),When a new toy called &quot Forky&quot  joins Woody and the gang  a road trip alongside old and new friends reveals how big the world can be for a toy.,Josh Cooley,["Tom Hanks" "Tim Allen" "Annie Potts" "Tony Hale"],false,https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1497349145/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Titans (2018-),A team of young superheroes led by Nightwing (formerly Batman's first Robin) form to combat evil and other perils.,Not Found,["Brenton Thwaites" "Teagan Croft" "Anna Diop" "Ryan Potter"],false,https://m.media-amazon.com/images/M/MV5BOGIxMzE1MTEtMzViYi00MWI5LTllOTUtMmZkYzM3NmIyNTZlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1331346457/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Mindhunter (2017-),Set in the late 1970s  two FBI agents are tasked with interviewing serial killers to solve open cases.,Not Found,["Jonathan Groff" "Holt McCallany" "Anna Torv" "Hannah Gross"],false,https://m.media-amazon.com/images/M/MV5BNWNmYzQ1ZWUtYTQ3ZS00Y2UwLTlkMDctZThlOTJkMGJiNzBiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi559528985/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Once Upon a Time... in Hollywood (2019),A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.,Quentin Tarantino,["Leonardo DiCaprio" "Brad Pitt" "Margot Robbie" "Emile Hirsch"],false,https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi1431682073/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Undone (2019-),A woman discovers she has a new relationship with time after surviving a car accident that almost killed her.,Not Found,["Rosa Salazar" "Angelique Cabral" "Constance Marie" "Siddharth Dhananjay"],false,https://m.media-amazon.com/images/M/MV5BZmU2MGMwOGYtNjc3ZS00ODg3LWEzNGMtZDcyYjQzNTU4YmI4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi1196604441/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The I-Land (2019-),When ten people wake up on a treacherous island with no memory of who they are and how they got there  they set off on a trek to try to get back home  only to discover the world is not as it seems.,Not Found,["Natalie Martinez" "Kate Bosworth" "Ronald Peet" "Sibylla Deen"],false,https://m.media-amazon.com/images/M/MV5BZWM2MWUzZDQtZjljNC00ZmI5LTlhOWItMDdlMzA1MTcwZDM3XkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi659405849/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Luchsh,A family on the brink of splitting up become the owners of a cutting-edge robot being sought by a corporation  homicide investigators and terrorists.,Not Found,["Paulina Andreeva" "Kirill Käro" "Aleksandr Ustyugov" "Olga Lomonosova"],false,https://m.media-amazon.com/images/M/MV5BZTk3ZjhlZGEtOTg1My00NDBjLTk2MmUtZWRhMjNhMzI2ZTgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3612195865/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Rambo: Last Blood (2019),Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.,Adrian Grunberg,["Sylvester Stallone" "Paz Vega" "Yvette Monreal" "Louis Mandylor"],false,https://m.media-amazon.com/images/M/MV5BNTAxZWM2OTgtOTQzOC00ZTI5LTgyYjktZTRhYWM4YWQxNWI0XkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2974596121/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Peanut Butter Falcon (2019),Zak runs away from his care home to make his dream of becoming a wrestler come true.,Tyler Nilso,["Shia LaBeouf" "Dakota Johnson" "Zack Gottsagen" "John Hawkes"],false,https://m.media-amazon.com/images/M/MV5BMjkwMDBhYTEtYjNhYS00ZGUyLTkyMGMtYzlkNWU5ZDVjNDA5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi3679239193/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Fifty Shades of Grey (2015),Literature student Anastasia Steele's life changes forever when she meets handsome  yet tormented  billionaire Christian Grey.,Sam Taylor-Johnson,["Dakota Johnson" "Jamie Dornan" "Jennifer Ehle" "Eloise Mumford"],false,https://m.media-amazon.com/images/M/MV5BMjE1MTM4NDAzOF5BMl5BanBnXkFtZTgwNTMwNjI0MzE@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2636688921/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Perfect (2018),Garrett  an emotionally-troubled young man  is sent to a clinic  whispering soothing promises of perfection. By planting characteristics directly into his own body  he's relieved of his dark visions  but pays the price for purity of mind.,Eddie Alcazar,["Abbie Cornish" "Courtney Eaton" "Rainey Qualley" "Tao Okamoto"],false,https://m.media-amazon.com/images/M/MV5BMWNkMWE3MmMtOWRkMC00ZDI3LWFmMjEtZjg5ZDAxZDBiOGY5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi2267592729/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
Mad Men (2007-2015),A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s  focusing on one of the firm's most mysterious but extremely talented ad executives  Donald Draper.,Not Found,["Jon Hamm" "Elisabeth Moss" "Vincent Kartheiser" "January Jones"],false,https://m.media-amazon.com/images/M/MV5BMjMwNzk5Nzg2OV5BMl5BanBnXkFtZTgwMjg1OTk1NDE@._V1_UY231_CR,https://www.imdb.com/video/imdb/vi69710105/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
The Office (2005-2013),A mockumentary on a group of typical office workers  where the workday consists of ego clashes  inappropriate behavior  and tedium.,Not Found,["Steve Carell" "Jenna Fischer" "John Krasinski" "Rainn Wilson"],false,https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2686888217/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
How I Met Your Mother (2005-2014),A father recounts to his children  through a series of flashbacks  the journey he and his four best friends took leading up to him meeting their mother.,Not Found,["Josh Radnor" "Jason Segel" "Cobie Smulders" "Neil Patrick Harris"],false,https://m.media-amazon.com/images/M/MV5BZWJjMDEzZjUtYWE1Yy00M2ZiLThlMmItODljNTAzODFiMzc2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX156_CR,https://www.imdb.com/video/imdb/vi2770577433/imdb/inline?ratio=1.77&rid=59N6RHKEJ2EMPFR9JFZA
